,artist,count,year
870,Elton John,1,1994
871,Jewel,1,1998
872,Harry Chapin,1,1972
873,Diana Ross,1,1980
874,The Sylvers,1,1976
875,INXS,4,1988
876,Arrested Development,2,1992
877,Laura Branigan,2,1983
878,JoJo,1,2006
879,Matchbox Twenty,1,2001
880,ASAP Rocky,1,2013
881,Young Jeezy,1,2008
882,DJ Jazzy Jeff and The Fresh Prince,1,1991
883,The Sandpipers,1,1970
884,Toby Keith,1,2002
885,Lisa Loeb and Nine Stories,1,1994
886,Keri Hilson,2,2009
887,Rod Stewart,1,1971
888,Bryan Adams,1,1983
889,Chic,1,1978
890,Dino,1,1990
891,Kenny Loggins,1,1986
892,Mike WiLL Made-It,1,2014
893,Ginuwine,1,1999
894,Maroon 5,3,2013
895,Andy Williams,1,1971
896,Dido,1,2001
897,Cheap Trick,1,1979
898,Matthews Southern Comfort,1,1971
899,P.M. Dawn,2,1992
900,B-Rock and the Bizz,1,1997
901,Chingy,1,2003
902,Zhane,1,1994
903,Brenda and the Tabulations,1,1971
904,LFO,1,2000
905,James Brown,1,1972
906,Champaign,1,1983
907,Champaign,1,1981
908,R. Kelly,2,2007
909,Paul Revere and the Raiders,1,1971
910,The Hues Corporation,1,1974
911,Joe Cocker,1,1983
912,Jay Ferguson,1,1978
913,Asher Roth,1,2009
914,Gary Wright,2,1976
915,Adina Howard,1,1995
916,Kardinal Offishall,1,2008
917,ZZ Top,1,1986
918,Three Dog Night,1,1970
919,Calvin Harris,2,2013
920,Asia,1,1982
921,Katy Perry,3,2014
922,Enrique Iglesias,1,2000
923,La Roux,1,2010
924,Fuel,1,2001
925,Donny,1,1976
926,Miranda Lambert,1,2014
927,Xscape,2,1994
928,The Beach Boys,1,1976
929,Crazy Town,1,2001
930,The Police,1,1982
931,Fine Young Cannibals,2,1989
932,Jay-Z,2,2001
933,Christine McVie,1,1984
934,Sara Bareilles,1,2010
935,Passenger,1,2013
936,Jesse Powell,1,1999
937,Robert Palmer,2,1986
938,Salt-n-Pepa,2,1994
939,Lee Michaels,1,1971
940,Chris de Burgh,1,1987
941,Queen Latifah,1,1994
942,Marmalade,1,1970
943,Bobby Valentino,1,2005
944,Gin Blossoms,1,1994
945,Madonna,1,2000
946,Jodeci,1,1993
947,Kiss,1,1979
948,Jessie J,1,2011
949,Randy VanWarmer,1,1979
950,Flo Rida,3,2012
951,Europe,1,1987
952,Phillip Phillips,1,2012
953,Alanis Morissette,2,1996
954,The Chi-Lites,1,1972
955,LL Cool J,1,2002
956,Soul Asylum,1,1993
957,Joan Baez,1,1971
958,George Harrison,1,1988
959,Avant,1,2004
960,The First Class,1,1974
961,Paul Davis,2,1982
962,Silk,1,1993
963,The Pointer Sisters,1,1973
964,Red Hot Chili Peppers,1,2006
965,Chris Isaak,1,1991
